phrase_cd,title,audio_url,A_sec,B_sec,C_sec,note
P1-002-095,처사가095,https://apis.gugak.go.kr/phrase/002cheosaga/P1-002-095.wav,21.95,26.69,7.68,A 유지 22.08→21.95s(구조적 에너지 피크 재탐색); B 변경 13.50→26.69s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→7.68s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=27.18s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-002-096,처사가096,https://apis.gugak.go.kr/phrase/002cheosaga/P1-002-096.wav,14.85,21.89,5.63,A 유지 14.91→14.85s(구조적 에너지 피크 재탐색); B 변경 8.38→21.89s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→5.63s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=28.97s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.85
P1-002-097,처사가097,https://apis.gugak.go.kr/phrase/002cheosaga/P1-002-097.wav,8.38,15.3,8.32,A 유지 8.51→8.38s(구조적 에너지 피크 재탐색); B 변경 14.85→15.30s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→8.32s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=28.97s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-002-098,처사가098,https://apis.gugak.go.kr/phrase/002cheosaga/P1-002-098.wav,5.89,7.42,0.83,A 변경 8.58→5.89s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 8.38→7.42s(전진 이동; A 이후 해소 구간 재탐색); C 변경 0.13→0.83s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=13.37s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-002-099,처사가099,https://apis.gugak.go.kr/phrase/002cheosaga/P1-002-099.wav,8.45,12.42,0.83,A 유지 8.51→8.45s(구조적 에너지 피크 재탐색); B 변경 8.32→12.42s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→0.83s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=13.37s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-002-100,처사가100,https://apis.gugak.go.kr/phrase/002cheosaga/P1-002-100.wav,13.76,14.85,0.96,A 유지 13.57→13.76s(구조적 에너지 피크 재탐색); B 변경 8.13→14.85s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→0.96s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=15.26s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-002-101,처사가101,https://apis.gugak.go.kr/phrase/002cheosaga/P1-002-101.wav,8.13,8.9,8.13,A 변경 13.63→8.13s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 8.13→8.90s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→8.13s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=15.26s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-003-117,양양가117,https://apis.gugak.go.kr/phrase/003yangyangga/P1-003-117.wav,14.66,22.85,8.51,A 유지 14.78→14.66s(구조적 에너지 피크 재탐색); B 변경 11.71→22.85s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→8.51s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=28.15s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-003-118,양양가118,https://apis.gugak.go.kr/phrase/003yangyangga/P1-003-118.wav,22.46,25.79,8.51,A 변경 14.78→22.46s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 11.65→25.79s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→8.51s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=28.15s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-003-119,양양가119,https://apis.gugak.go.kr/phrase/003yangyangga/P1-003-119.wav,13.12,21.89,7.17,A 유지 13.25→13.12s(구조적 에너지 피크 재탐색); B 변경 10.50→21.89s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→7.17s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=27.35s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-003-120,양양가120,https://apis.gugak.go.kr/phrase/003yangyangga/P1-003-120.wav,21.44,24.7,7.17,A 변경 13.25→21.44s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 7.17→24.70s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→7.17s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=자진모리; 태그=신남|웅장; dur=27.35s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-003-121,양양가121,https://apis.gugak.go.kr/phrase/003yangyangga/P1-003-121.wav,14.98,23.74,8.0,A 유지 15.10→14.98s(구조적 에너지 피크 재탐색); B 변경 23.36→23.74s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→8.00s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=자진모리; 태그=신남|웅장; dur=28.35s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-003-122,양양가122,https://apis.gugak.go.kr/phrase/003yangyangga/P1-003-122.wav,23.36,26.18,8.0,A 유지 23.49→23.36s(구조적 에너지 피크 재탐색); B 변경 14.98→26.18s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→8.00s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=자진모리; 태그=신남|웅장; dur=28.35s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-003-123,양양가123,https://apis.gugak.go.kr/phrase/003yangyangga/P1-003-123.wav,12.86,20.22,6.98,A 유지 12.99→12.86s(구조적 에너지 피크 재탐색); B 변경 19.78→20.22s(후행 이동; A 이후 해소 구간 재탐색); C 변경 4.61→6.98s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=자진모리; 태그=신남|웅장; dur=25.82s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-003-124,양양가124,https://apis.gugak.go.kr/phrase/003yangyangga/P1-003-124.wav,19.78,23.36,6.98,A 변경 12.99→19.78s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 9.79→23.36s(후행 이동; A 이후 해소 구간 재탐색); C 변경 4.61→6.98s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=자진모리; 태그=신남|웅장; dur=25.82s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-003-125,양양가125,https://apis.gugak.go.kr/phrase/003yangyangga/P1-003-125.wav,12.29,19.39,6.85,A 유지 12.42→12.29s(구조적 에너지 피크 재탐색); B 변경 9.34→19.39s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→6.85s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=자진모리; 태그=신남|웅장; dur=21.96s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-003-126,양양가126,https://apis.gugak.go.kr/phrase/003yangyangga/P1-003-126.wav,9.34,12.74,6.85,A 변경 19.14→9.34s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 12.29→12.74s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.19→6.85s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=자진모리; 태그=신남|웅장; dur=21.96s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-004-073,백구사073,https://apis.gugak.go.kr/phrase/004baekgusa/P1-004-073.wav,7.81,10.69,6.08,A 변경 9.34→7.81s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 10.24→10.69s(후행 이동; A 이후 해소 구간 재탐색); C 변경 5.70→6.08s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=13.47s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-004-074,백구사074,https://apis.gugak.go.kr/phrase/004baekgusa/P1-004-074.wav,10.24,11.01,6.08,A 유지 10.37→10.24s(구조적 에너지 피크 재탐색); B 변경 6.02→11.01s(후행 이동; A 이후 해소 구간 재탐색); C 변경 5.63→6.08s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=13.47s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-004-075,백구사075,https://apis.gugak.go.kr/phrase/004baekgusa/P1-004-075.wav,16.83,25.22,7.94,A 유지 16.96→16.83s(구조적 에너지 피크 재탐색); B 변경 24.77→25.22s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→7.94s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=31.78s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-004-076,백구사076,https://apis.gugak.go.kr/phrase/004baekgusa/P1-004-076.wav,13.57,17.28,7.94,A 변경 8.13→13.57s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 13.57→17.28s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→7.94s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=31.78s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-004-077,백구사077,https://apis.gugak.go.kr/phrase/004baekgusa/P1-004-077.wav,11.33,14.78,8.19,A 유지 11.39→11.33s(구조적 에너지 피크 재탐색); B 변경 17.60→14.78s(전진 이동; A 이후 해소 구간 재탐색); C 변경 0.19→8.19s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=35.24s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-004-078,백구사078,https://apis.gugak.go.kr/phrase/004baekgusa/P1-004-078.wav,25.79,32.13,8.19,A 변경 14.53→25.79s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 14.34→32.13s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.19→8.19s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=35.24s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-004-079,백구사079,https://apis.gugak.go.kr/phrase/004baekgusa/P1-004-079.wav,17.02,24.9,8.06,A 유지 17.15→17.02s(구조적 에너지 피크 재탐색); B 변경 13.76→24.90s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→8.06s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=33.98s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-004-080,백구사080,https://apis.gugak.go.kr/phrase/004baekgusa/P1-004-080.wav,13.76,24.9,8.06,A 유지 13.89→13.76s(구조적 에너지 피크 재탐색); B 변경 24.45→24.90s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→8.06s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=33.98s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-004-081,백구사081,https://apis.gugak.go.kr/phrase/004baekgusa/P1-004-081.wav,16.64,25.41,8.26,A 유지 16.77→16.64s(구조적 에너지 피크 재탐색); B 변경 13.31→25.41s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→8.26s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=32.62s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-004-082,백구사082,https://apis.gugak.go.kr/phrase/004baekgusa/P1-004-082.wav,25.02,30.59,8.26,A 유지 25.09→25.02s(구조적 에너지 피크 재탐색); B 변경 13.31→30.59s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→8.26s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=32.62s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-004-083,백구사083,https://apis.gugak.go.kr/phrase/004baekgusa/P1-004-083.wav,17.79,26.82,9.22,A 유지 17.92→17.79s(구조적 에너지 피크 재탐색); B 변경 14.59→26.82s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.70→9.22s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=29.45s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-004-084,백구사084,https://apis.gugak.go.kr/phrase/004baekgusa/P1-004-084.wav,14.59,18.3,9.22,A 유지 14.72→14.59s(구조적 에너지 피크 재탐색); B 변경 14.53→18.30s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.70→9.22s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=세마치; 태그=슬픔|차분; dur=29.45s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-005-018,바람아018,https://apis.gugak.go.kr/phrase/005barama/P1-005-018.wav,9.86,13.89,1.22,A 유지 9.86→9.86s(구조적 에너지 피크 재탐색); B 변경 10.05→13.89s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.19→1.22s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=중모리; 태그=서정|차분; dur=15.27s; peak:local_max; release:post_peak_settle; loop:stable_plateau_fallback
P1-005-019,바람아019,https://apis.gugak.go.kr/phrase/005barama/P1-005-019.wav,7.36,12.61,7.36,A 유지 7.49→7.36s(구조적 에너지 피크 재탐색); B 변경 16.58→12.61s(전진 이동; A 이후 해소 구간 재탐색); C 변경 0.13→7.36s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=중모리; 태그=서정|차분; dur=19.60s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-005-020,바람아020,https://apis.gugak.go.kr/phrase/005barama/P1-005-020.wav,8.7,13.63,5.63,A 유지 8.83→8.70s(구조적 에너지 피크 재탐색); B 변경 8.64→13.63s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→5.63s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=중모리; 태그=서정|차분; dur=14.33s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.98
P1-005-021,바람아021,https://apis.gugak.go.kr/phrase/005barama/P1-005-021.wav,16.26,23.04,8.83,A 변경 8.96→16.26s(후행 이동; 구조적 에너지 피크 재탐색); B 변경 16.26→23.04s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→8.83s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=중모리; 태그=서정|차분; dur=24.79s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.96
P1-005-022,바람아022,https://apis.gugak.go.kr/phrase/005barama/P1-005-022.wav,9.34,10.11,1.22,A 유지 9.54→9.34s(구조적 에너지 피크 재탐색); B 변경 9.34→10.11s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.19→1.22s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=중모리; 태그=서정|차분; dur=15.85s; peak:local_max; release:post_peak_settle; loop:stable_plateau_fallback
P1-006-018,평시조018,https://apis.gugak.go.kr/phrase/006pyeongsijo/P1-006-018.wav,6.34,12.22,6.34,A 유지 6.46→6.34s(구조적 에너지 피크 재탐색); B 변경 11.84→12.22s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→6.34s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=19.45s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.96
P1-006-019,평시조019,https://apis.gugak.go.kr/phrase/006pyeongsijo/P1-006-019.wav,13.38,19.65,5.63,A 유지 13.50→13.38s(구조적 에너지 피크 재탐색); B 변경 19.26→19.65s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.26→5.63s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=27.22s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-006-020,평시조020,https://apis.gugak.go.kr/phrase/006pyeongsijo/P1-006-020.wav,21.18,26.18,8.83,A 유지 21.31→21.18s(구조적 에너지 피크 재탐색); B 변경 25.86→26.18s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.19→8.83s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=33.79s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-006-021,평시조021,https://apis.gugak.go.kr/phrase/006pyeongsijo/P1-006-021.wav,9.28,10.05,1.28,A 유지 9.41→9.28s(구조적 에너지 피크 재탐색); B 변경 9.22→10.05s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.26→1.28s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=16.71s; peak:local_max; release:post_peak_settle; loop:stable_plateau_fallback
P1-007-018,우조지름시조018,https://apis.gugak.go.kr/phrase/007ujojireumsijo/P1-007-018.wav,22.08,32.19,7.68,A 유지 22.21→22.08s(구조적 에너지 피크 재탐색); B 변경 7.62→32.19s(후행 이동; A 이후 해소 구간 재탐색); C 변경 7.23→7.68s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=33.96s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-007-019,우조지름시조019,https://apis.gugak.go.kr/phrase/007ujojireumsijo/P1-007-019.wav,22.08,27.52,7.55,A 유지 22.21→22.08s(구조적 에너지 피크 재탐색); B 변경 13.31→27.52s(후행 이동; A 이후 해소 구간 재탐색); C 변경 7.23→7.55s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=33.96s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.94
P1-007-020,우조지름시조020,https://apis.gugak.go.kr/phrase/007ujojireumsijo/P1-007-020.wav,8.51,10.24,8.58,A 변경 14.98→8.51s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 14.78→10.24s(전진 이동; A 이후 해소 구간 재탐색); C 변경 0.13→8.58s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=23.23s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=1.00
P1-007-021,우조지름시조021,https://apis.gugak.go.kr/phrase/007ujojireumsijo/P1-007-021.wav,14.85,20.74,8.58,A 유지 14.91→14.85s(구조적 에너지 피크 재탐색); B 변경 8.58→20.74s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.13→8.58s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=23.23s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
P1-007-022,우조지름시조022,https://apis.gugak.go.kr/phrase/007ujojireumsijo/P1-007-022.wav,23.55,33.6,10.75,A 변경 28.29→23.55s(전진 이동; 구조적 에너지 피크 재탐색); B 변경 23.55→33.60s(후행 이동; A 이후 해소 구간 재탐색); C 변경 0.26→10.75s(후행 이동; 초기 onset 대신 loop-friendly 반복/안정 구간 선택); 악기=아쟁; 장단=엇모리; 태그=신비|웅장; dur=35.52s; peak:local_max; release:post_peak_settle; loop:repeated_phrase_sim=0.99
